"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,201043920E-1;-3,518633544E-2;-6,033648252E-1;3,576660156E-2;6,054473060E-1
1,366436060E-1;-2,239737362E-1;-9,884701967E-1;-7,430648804E-2;1,016247518E0
1,531349000E-1;-2,014326304E-1;-8,676737547E-1;4,832363129E-2;8,920583067E-1
2,357353140E-1;9,033270180E-3;1,952460408E-1;-5,155086517E-2;2,021388338E-1
2,522621410E-1;-1,882123947E-2;-1,156433523E-1;2,441596985E-2;1,196819266E-1
2,687825060E-1;-5,026060343E-2;-3,599677384E-1;-1,986408234E-2;3,640020367E-1
2,852993110E-1;-1,260876805E-1;-5,510804057E-1;2,020072937E-2;5,656817004E-1
3,018188120E-1;-1,212776452E-1;-5,891869068E-1;-1,270866394E-2;6,016734900E-1
3,183639270E-1;-6,878018379E-2;-5,071471930E-1;1,540088654E-2;5,120216561E-1
3,348789940E-1;-7,902956009E-2;-3,498862386E-1;-1,091766357E-2;3,588666141E-1
3,513940600E-1;-4,691044986E-2;-2,010121047E-1;-7,925987244E-3;2,065654323E-1
3,679243850E-1;-1,355203986E-2;-9,572041035E-2;-1,391029358E-2;9,767062511E-2
3,844314240E-1;-1,411272585E-2;-6,705659628E-2;-1,929092407E-2;7,118915568E-2
4,009579960E-1;-3,746761382E-2;-1,243826747E-1;-1,869869232E-2;1,312421919E-1
4,174818600E-1;-3,734600544E-2;-2,055779099E-1;-7,936477661E-3;2,090932540E-1
4,340034680E-1;-5,577129126E-2;-2,868617773E-1;-6,742477417E-3;2,923107545E-1
4,505144950E-1;-6,048138440E-2;-3,346363306E-1;-6,147384644E-3;3,401136015E-1
4,670410350E-1;-7,958154380E-2;-3,254783154E-1;-1,967430115E-3;3,350719724E-1
4,835496420E-1;-4,614363611E-2;-3,104371428E-1;-1,973152161E-3;3,138540236E-1
5,000860500E-1;-4,614070058E-2;-2,721649408E-1;2,214431763E-3;2,760572821E-1
5,165881450E-1;-6,533640623E-2;-2,529894710E-1;-7,359504700E-3;2,613937274E-1
5,331325800E-1;-3,672447801E-2;-2,242939770E-1;-7,957458496E-3;2,274198684E-1
5,496432820E-1;-4,630416632E-2;-2,196267843E-1;-7,951736450E-3;2,245957042E-1
5,661686410E-1;-4,626041651E-2;-2,244289219E-1;-1,273632050E-2;2,295007211E-1
5,826755900E-1;-4,622128606E-2;-2,435845435E-1;-7,350921631E-3;2,480400636E-1
5,992110830E-1;-5,589714646E-2;-2,625857592E-1;-7,360458374E-3;2,685701924E-1
6,157360770E-1;-5,116717517E-2;-2,529230714E-1;-1,215076447E-2;2,583327330E-1
6,322551920E-1;-4,628975689E-2;-2,481938004E-1;-2,575874329E-3;2,524867111E-1
6,487816100E-1;-5,098699033E-2;-2,384328544E-1;-1,215553284E-2;2,441263120E-1
6,652858210E-1;-5,099523067E-2;-2,526935637E-1;-2,589225769E-3;2,578008045E-1
6,817845820E-1;-5,584281683E-2;-2,524480224E-1;-7,387161255E-3;2,586561315E-1
6,983282110E-1;-5,574737489E-2;-2,428286970E-1;-7,389068604E-3;2,492551789E-1
7,148471230E-1;-4,613715410E-2;-2,428297400E-1;-7,388114929E-3;2,472842572E-1
7,313659020E-1;-4,609528184E-2;-2,332102954E-1;-2,604484558E-3;2,377364092E-1
7,478899500E-1;-5,083772540E-2;-2,426306009E-1;-2,612113953E-3;2,479131017E-1
7,644085240E-1;-4,606407881E-2;-2,474120259E-1;2,174377441E-3;2,516730773E-1
7,809280570E-1;-5,085775256E-2;-2,521404922E-1;-7,400512695E-3;2,573249043E-1
7,974653800E-1;-5,564965308E-2;-2,615516782E-1;-1,219367981E-2;2,676842358E-1
8,139681590E-1;-4,609183967E-2;-2,518720031E-1;-1,219940186E-2;2,563450585E-1
8,635459090E-1;-4,619130492E-2;-2,467935383E-1;-1,700115204E-2;2,516539815E-1
8,800665480E-1;-4,912172258E-2;-2,545346022E-1;-4,505157471E-3;2,592703295E-1
8,965871980E-1;-5,358581245E-2;-2,602050006E-1;-8,770942688E-3;2,658101034E-1
9,131056830E-1;-5,258807540E-2;-2,631600499E-1;-1,121330261E-2;2,685971997E-1
9,296341250E-1;-5,648881197E-2;-2,664744258E-1;-1,143169403E-2;2,726358177E-1
9,461490790E-1;-5,079281330E-2;-2,575314343E-1;-6,917953491E-3;2,625837154E-1
9,626556720E-1;-4,472820461E-2;-2,409592867E-1;-6,728172302E-3;2,451678169E-1
9,791918460E-1;-4,749383032E-2;-2,151742876E-1;-6,071090698E-3;2,204370570E-1
9,957137670E-1;-4,652631283E-2;-2,158793211E-1;-1,182365417E-2;2,211523861E-1
1,012232008E0;-4,214882851E-2;-2,390633374E-1;-8,132934570E-3;2,428866972E-1
1,028745151E0;-5,349023640E-2;-2,447465658E-1;-1,748752594E-2;2,511332324E-1
1,045283440E0;-4,934507608E-2;-2,676319182E-1;-5,583763123E-3;2,722002178E-1
1,061777623E0;-5,522184074E-2;-2,772018611E-1;-9,988784790E-3;2,828252099E-1
1,078325983E0;-5,773627758E-2;-2,744308710E-1;-1,308059692E-2;2,807434465E-1
1,094832585E0;-4,663397372E-2;-2,559188306E-1;-1,127624512E-2;2,603772822E-1
1,111355799E0;-5,702793598E-2;-2,409103811E-1;-5,520820618E-3;2,476297168E-1
1,127865606E0;-4,688116908E-2;-2,212323844E-1;-8,853912354E-3;2,263183680E-1
1,144402308E0;-3,427980840E-2;-2,082734704E-1;-1,238822937E-3;2,110793178E-1
1,160907131E0;-4,594932497E-2;-2,197765410E-1;-1,519584656E-2;2,250421787E-1
1,177438310E0;-4,869641364E-2;-2,416900247E-1;-6,549835205E-3;2,466339577E-1
1,193955004E0;-5,493237078E-2;-2,879654169E-1;-1,172351837E-2;2,933923782E-1
1,210474088E0;-6,395298243E-2;-3,010889888E-1;-3,593444824E-3;3,078270228E-1
1,226978554E0;-5,660305917E-2;-2,848870158E-1;-5,296707153E-3;2,905039986E-1
1,243514800E0;-4,845924675E-2;-2,466943264E-1;-2,015113831E-3;2,514168848E-1
1,260044077E0;-4,645875096E-2;-2,217067480E-1;-7,085800171E-3;2,266329769E-1
1,276555307E0;-3,999742866E-2;-2,233558893E-1;-9,778976440E-3;2,271195191E-1
1,293100556E0;-4,377269745E-2;-2,298359275E-1;-3,836631775E-3;2,339985520E-1
1,309615255E0;-5,468295515E-2;-2,424729615E-1;-1,220035553E-2;2,488618318E-1
1,326129792E0;-5,639015138E-2;-2,546803653E-1;-1,054668427E-2;2,610616215E-1
1,342653484E0;-5,851717293E-2;-2,866317928E-1;-7,520675659E-3;2,926407434E-1
1,359157685E0;-5,713260174E-2;-2,883297503E-1;-3,012657166E-3;2,939511102E-1
1,375679557E0;-5,576755106E-2;-2,760473490E-1;-3,192901611E-3;2,816422434E-1
1,392201663E0;-5,455879867E-2;-2,364211529E-1;-2,079105377E-2;2,435239044E-1
1,408724164E0;-3,786978126E-2;-2,047893405E-1;-7,196426392E-3;2,083856590E-1
1,425242099E0;-4,156349599E-2;-2,104346156E-1;-1,326751709E-2;2,149099315E-1
1,441765822E0;-4,958207905E-2;-2,314102650E-1;-9,281158447E-3;2,368443227E-1
1,458299615E0;-4,662884772E-2;-2,495025247E-1;-1,016998291E-2;2,540259590E-1
1,474817620E0;-5,421438813E-2;-2,566957474E-1;-2,833366394E-3;2,623736545E-1
1,491341334E0;-5,710339546E-2;-2,658406794E-1;6,103515625E-5;2,719045206E-1
1,507866125E0;-5,565015972E-2;-2,706707716E-1;-6,492614746E-3;2,764086846E-1
1,524382645E0;-4,914943874E-2;-2,496372461E-1;-7,492065430E-3;2,545398849E-1
1,540936845E0;-5,201056600E-2;-2,360100150E-1;-1,207065582E-2;2,419742277E-1
1,557421586E0;-4,796862602E-2;-2,186848223E-1;1,060485840E-3;2,238865008E-1
1,573946764E0;-3,577172756E-2;-2,236049175E-1;-8,773803711E-3;2,266180824E-1
1,590461382E0;-4,782821238E-2;-2,391990125E-1;-1,484298706E-2;2,443849827E-1
1,606974332E0;-4,946225882E-2;-2,558701038E-1;-5,855560303E-3;2,606728077E-1
1,623505125E0;-5,171073973E-2;-2,616871595E-1;-7,428169250E-3;2,668507968E-1
1,640037179E0;-5,378319323E-2;-2,542733252E-1;-1,417350769E-2;2,602853129E-1
1,656544157E0;-3,946639597E-2;-2,338790298E-1;-8,417129517E-3;2,373348795E-1
1,673095000E0;-4,480305314E-2;-2,144454718E-1;-7,691383362E-3;2,192107007E-1
1,689575164E0;-4,205821455E-2;-2,132382095E-1;-1,765441895E-2;2,180621606E-1
1,706098510E0;-4,076817632E-2;-2,158159614E-1;1,949310303E-3;2,196414651E-1
1,722616730E0;-5,002847314E-2;-2,201664746E-1;-1,149559021E-2;2,260713897E-1
1,739144104E0;-4,272274673E-2;-2,228384912E-1;-2,841949463E-3;2,269147481E-1
1,755660544E0;-3,750103712E-2;-2,237523496E-1;1,608848572E-3;2,268788887E-1
1,772182110E0;-3,953894973E-2;-2,428420037E-1;-6,357192993E-3;2,461218828E-1
1,788723960E0;-5,363187194E-2;-2,518529296E-1;-9,357452393E-3;2,576700172E-1
1,805207063E0;-5,324903131E-2;-2,612149715E-1;-3,969192505E-3;2,666167196E-1
1,821739362E0;-4,974199831E-2;-2,455096841E-1;-1,242446899E-2;2,508059784E-1
1,904330194E0;-6,786265373E-1;9,809427261E0;-4,729251862E-1;9,844239707E0
1,986932725E0;-8,958758414E-2;-1,369872332E0;1,069008827E0;1,739929887E0
2,003488757E0;-6,924268603E-2;-1,443916082E0;-2,016000748E-1;1,459565275E0
2,020007495E0;-3,122572601E-2;-1,299361944E0;-6,382303238E-1;1,447982892E0
2,036529040E0;-7,594504952E-2;-1,425916076E0;-9,427127838E-1;1,711055726E0
2,053050495E0;-6,222783029E-2;-1,488606572E0;2,722272873E-1;1,514572390E0
2,069571441E0;-7,474258542E-2;-1,495290875E0;3,728094101E-1;1,542876571E0
2,086090829E0;4,214364290E-2;-1,454576015E0;-5,926532745E-1;1,571243258E0
2,102613525E0;-3,378507495E-2;-1,548082471E0;-1,126711845E0;1,914988342E0
2,119133168E0;-6,884679198E-2;-1,419198036E0;1,825714111E-2;1,420984261E0
2,135655446E0;-7,511222363E-2;-1,524328947E0;1,324668884E0;2,020883034E0
2,152176698E0;-1,805721223E-2;-1,443945289E0;-1,257185936E0;1,914633264E0
2,168695761E0;-4,827702045E-2;-1,506377816E0;-4,681282043E-1;1,578178954E0
2,185199902E0;-8,730664849E-2;-1,496005058E0;8,748769760E-1;1,735241571E0
2,201726270E0;-5,562189221E-2;-1,496036768E0;9,035968781E-1;1,748630071E0
2,218246035E0;-5,018514395E-2;-1,544720888E0;1,492776871E-1;1,552728244E0
2,234767733E0;-1,294730604E-2;-1,613067150E0;-6,625251770E-1;1,743872952E0
2,251289087E0;-2,793335915E-2;-1,561574340E0;4,268712997E-1;1,619108952E0
2,267809299E0;-1,801282167E-2;-1,577172399E0;-4,160213470E-2;1,577823810E0
2,284346805E0;-2,240398526E-2;-1,627903581E0;2,413644791E-1;1,645852004E0
2,300864994E0;6,488837600E-1;-2,188221216E0;-3,270273209E-1;2,305712275E0
2,317387650E0;-4,732099175E-2;-1,518357277E0;-1,858434677E-1;1,530420168E0
2,333924292E0;-1,716841757E-2;-1,520931363E0;-7,308645248E-1;1,687509976E0
2,350428310E0;-3,070598841E-2;-1,488906860E0;4,876670837E-1;1,567037230E0
2,366948655E0;-1,941718161E-2;-1,503955603E0;-7,405319214E-1;1,676498437E0
2,383466865E0;-1,949948072E-2;-1,525136471E0;-8,068275452E-2;1,527393594E0
2,399986854E0;-4,531681538E-2;-1,501383543E0;4,067726135E-1;1,556171622E0
2,416510840E0;-3,362999856E-2;-1,478406191E0;1,148271561E-1;1,483240074E0
2,433027647E0;-5,993278325E-2;-1,478267312E0;5,732059479E-2;1,480591718E0
2,449557035E0;-6,405268610E-2;-1,458051562E0;1,360702515E-2;1,459521242E0
2,466071419E0;-4,768733680E-2;-1,432376385E0;-6,175546646E-1;1,560560782E0
2,482588999E0;-6,526196003E-2;-1,413159251E0;6,076526642E-2;1,415969848E0
2,499113229E0;-7,515335083E-2;-1,359973073E0;2,182102203E-2;1,362222795E0
2,515609262E0;-8,089628816E-2;-1,205215096E0;3,432750702E-2;1,208414671E0
2,532156790E0;-5,147027969E-2;-2,239142358E-1;-1,294136047E-2;2,301179122E-1
2,548661479E0;-3,710488975E-2;-2,427921295E-1;-1,235580444E-2;2,459216479E-1
2,565195761E0;-4,182016850E-2;-2,376944125E-1;-2,672672272E-2;2,428206703E-1
2,581704449E0;-2,795505524E-2;-2,182553709E-1;1,573276520E-2;2,206001177E-1
2,598237326E0;-4,234208167E-2;-1,894216537E-1;-2,734470367E-2;1,960131312E-1
2,614726188E0;-4,232633114E-2;-1,748573482E-1;5,546569824E-3;1,799927081E-1
2,631285555E0;-3,204983473E-2;-1,891425848E-1;-3,274059296E-2;1,946125785E-1
2,647806227E0;-6,087177992E-2;-2,129731476E-1;-1,300621033E-2;2,218830699E-1
2,664322166E0;-4,175673425E-2;-2,366806865E-1;-1,301765442E-2;2,406882455E-1
2,680829411E0;-2,739425004E-2;-2,556323409E-1;-2,858161926E-3;2,571118584E-1
2,697350692E0;-4,645523429E-2;-2,267033458E-1;-1,782131195E-2;2,320993213E-1
2,713860600E0;-4,642531276E-2;-2,025833130E-1;-1,304531097E-2;2,082438198E-1
2,730394912E0;-3,269723058E-2;-1,927786469E-1;-1,305770874E-2;1,959673936E-1
2,746912318E0;-4,642117023E-2;-2,163981497E-1;6,069183350E-3;2,214044246E-1
2,763435432E0;-4,169848561E-2;-2,496525347E-1;-2,684402466E-2;2,545304568E-1
2,779970893E0;-4,165804386E-2;-2,924313247E-1;7,239341736E-3;2,954723005E-1
2,796491665E0;-3,673270345E-2;-2,872577906E-1;-1,670551300E-2;2,900782720E-1
2,813008787E0;-4,121820629E-2;-2,582806051E-1;-2,955436707E-3;2,615655675E-1
2,829532377E0;-5,133666098E-2;-1,765465140E-1;-2,331256866E-2;1,853310558E-1
2,846051145E0;-4,654698074E-2;-9,036272764E-2;-5,836486816E-4;1,016483380E-1
2,862573698E0;-3,753127158E-2;-2,807494998E-2;-3,946971893E-2;6,127526316E-2
2,879093505E0;-5,663317442E-2;-3,771516681E-2;-2,032279968E-2;7,101243862E-2
2,895613432E0;-3,689153492E-2;-7,120421529E-2;-1,972484589E-2;8,258386749E-2
2,912137237E0;-4,631076753E-2;-1,667578518E-1;-1,374816895E-2;1,736141713E-1
2,928656575E0;-3,669895232E-2;-1,905502677E-1;1,200675964E-3;1,940558148E-1
2,945173493E0;-5,044889450E-2;-2,285591662E-1;-1,735782623E-2;2,347033820E-1
2,961703564E0;-4,072856903E-2;-2,331601083E-1;-7,793426514E-3;2,368188969E-1
2,978213899E0;-2,145716548E-2;-2,234631181E-1;-1,258373260E-2;2,248433353E-1
2,994746288E0;-5,010546744E-2;-2,280656695E-1;-7,805824280E-3;2,336352678E-1
3,011266716E0;-4,047140479E-2;-2,183679342E-1;-8,409500122E-3;2,222458301E-1
3,027779838E0;-3,144517541E-2;-2,086293995E-1;5,940437317E-3;2,110694535E-1
3,044280347E0;-4,976746440E-2;-1,941210628E-1;-2,277755737E-2;2,016893766E-1
3,060831495E0;-5,034060776E-2;-1,938698888E-1;-8,432388306E-3;2,004764718E-1
3,077340671E0;3,578001261E-2;-2,075099349E-1;-1,741218567E-2;2,112907158E-1
3,093872248E0;-6,880518794E-2;-2,365692854E-1;-1,263809204E-2;2,466959709E-1
3,110389439E0;-4,933184385E-2;-2,464757264E-1;-1,131439209E-1;2,756546052E-1
3,126905074E0;-5,498053133E-2;-2,014363706E-1;1,919374466E-1;2,836185002E-1
3,143427475E0;-3,432157636E-2;-2,609761357E-1;-2,178516388E-1;3,416809192E-1
3,159934962E0;-5,053475499E-2;-2,057097852E-1;1,829347610E-1;2,798846262E-1
3,176457291E0;-2,544762194E-2;-1,832803488E-1;-1,425046921E-1;2,335526814E-1
3,192963406E0;-4,043351114E-2;-2,110635042E-1;2,976226807E-2;2,169526774E-1
3,209499834E0;-5,883035064E-2;-2,155595720E-1;2,017974854E-2;2,243527612E-1
3,226019763E0;-3,014957905E-2;-1,962483823E-1;-1,332950592E-2;1,989977397E-1
3,242541603E0;-3,017961979E-2;-1,865188777E-1;-3,248023987E-2;1,917161109E-1
3,259049059E0;-3,549170494E-2;-1,910896003E-1;1,058197021E-2;1,946455100E-1
3,275597573E0;-4,034742713E-2;-1,860455871E-1;-2,293205261E-2;1,917465890E-1
3,292101978E0;-3,559137881E-2;-2,000268996E-1;-3,808021545E-3;2,032043499E-1
3,308636555E0;-3,492285311E-2;-1,901910901E-1;-2,774810791E-2;1,953515137E-1
3,325156941E0;-4,017871618E-2;-1,899740696E-1;-8,614540100E-3;1,943674012E-1
3,341680817E0;-3,964558244E-2;-1,944859624E-1;-1,819992065E-2;1,993183355E-1
3,358198293E0;-3,543409705E-2;-1,942125857E-1;-8,642196655E-3;1,976076700E-1
3,374715505E0;-3,958947957E-2;-1,891583800E-1;-2,301120758E-2;1,946220319E-1
3,391248242E0;-4,010803998E-2;-1,888893843E-1;-1,345157623E-2;1,935685906E-1
3,407758607E0;-3,529824317E-2;-1,505288184E-1;3,042221069E-4;1,546123659E-1
3,424286856E0;-3,523130715E-2;-1,695257425E-1;-2,363109589E-2;1,747531146E-1
3,440818830E0;-4,880246520E-2;-2,075666487E-1;-8,684158325E-3;2,134033947E-1
3,457323977E0;-5,349366367E-2;-2,456087172E-1;-1,288223267E-2;2,516965751E-1
3,473851058E0;-4,856067896E-2;-2,308740616E-1;6,243705750E-3;2,360083806E-1
3,490365930E0;-3,481924534E-2;-1,876268983E-1;-8,719444275E-3;1,910294781E-1
3,506876835E0;-2,519187331E-2;-1,920835078E-1;-3,949165344E-3;1,937686774E-1
3,523409713E0;-4,424588382E-2;-1,920490265E-1;1,040744781E-2;1,973546092E-1
3,539932327E0;-3,877957165E-2;-2,013267875E-1;-1,831912994E-2;2,058444098E-1
3,556448766E0;-3,894646466E-2;-1,963031888E-1;-1,833343506E-2;2,009673702E-1
3,572971828E0;-3,941226006E-2;-2,006944418E-1;5,577087402E-3;2,046037368E-1
3,589494971E0;-3,853559494E-2;-1,908908486E-1;-4,228687286E-2;1,992799232E-1
3,606010494E0;-3,919944167E-2;-1,906553209E-1;1,512908936E-2;1,952304714E-1
3,622537066E0;-3,368912637E-2;-1,951996684E-1;-2,316474915E-2;1,994353865E-1
3,639049894E0;-3,854171932E-2;-1,948578358E-1;-1,361179352E-2;1,990987725E-1
3,655575569E0;-3,447696567E-2;-1,897863448E-1;7,295608521E-4;1,928938830E-1
3,672084247E0;-3,434959054E-2;-1,657508910E-1;-1,901340485E-2;1,703372003E-1
3,688601439E0;-3,442499042E-2;-1,655942202E-1;4,904747009E-3;1,692057394E-1
3,705127460E0;-3,360304236E-2;-1,940644085E-1;-2,321910858E-2;1,983161267E-1
3,721641032E0;-4,318810999E-2;-1,985500157E-1;-4,091262817E-3;2,032340031E-1
3,738168253E0;-4,330401123E-2;-1,887401938E-1;-1,367568970E-2;1,941265635E-1
3,754693237E0;-3,425212204E-2;-1,837204397E-1;-8,899688721E-3;1,870978682E-1
3,771223817E0;-4,318912327E-2;-1,978248060E-1;-8,911132812E-3;2,026804443E-1
3,787738221E0;-3,373958170E-2;-1,975221038E-1;-1,849842072E-2;2,012350179E-1
3,804264832E0;-3,908967972E-2;-1,782494783E-1;-4,746437073E-3;1,825470029E-1
3,820814476E0;-3,357924521E-2;-1,876786053E-1;-3,286743164E-2;1,934711675E-1
3,837293774E0;-3,892719746E-2;-1,922637820E-1;6,237030029E-4;1,961659440E-1
3,853827110E0;-2,933500707E-2;-1,866859496E-1;5,399703979E-3;1,890538103E-1
3,870313958E0;-3,359365463E-2;-1,870407760E-1;-2,332592010E-2;1,914598759E-1
3,886872175E0;-2,928619087E-2;-1,766898632E-1;-2,861022949E-6;1,791004990E-1
3,903377466E0;1,536570489E-2;-1,639065742E-1;3,828496933E-1;4,167437554E-1
3,919932611E0;-4,252387583E-2;-9,791263938E-2;4,007530212E-1;4,147265955E-1
3,936415379E0;-2,743962407E-2;-1,442596316E-1;-1,918125153E-2;1,480935336E-1
3,952951554E0;-6,595212221E-2;-2,407948226E-1;-5,627250671E-2;2,559265989E-1
3,969460302E0;6,442259252E-2;-1,998318136E-1;5,885620117E-1;6,248906031E-1
3,985991359E0;-5,282366276E-2;-1,997050345E-1;2,445697784E-2;2,080158261E-1
